"";"ILI rate";"αρ. γριπωδών συνδρομών";"αρ. επισκέψεων";"Παθολόγοι / Γεν.ιατροί που δήλωσαν";"Παιδίατροι που δήλωσαν";"Εκτιμώμενος πληθυσμιακός παρονομαστής (σύνολο)"
"201233";2,46;14;4796;42;22;91125
"201234";1,48;20;7308;54;26;115848
"201235";4,88;23;7214;59;31;128064
"201236";5,67;16;6363;70;39;153215
"201237";11,59;26;6078;68;36;147755
"201238";2,87;29;8519;61;33;132950
"201239";4,31;30;8892;71;38;154510
"201240";6,65;47;8800;65;35;141574
"201241";7,53;70;9474;69;43;153644
"201242";8,07;51;8882;72;40;157527
"201243";6,63;46;9733;74;43;162988
"201244";5,83;45;8345;68;30;144308
"201245";7,15;50;8236;71;36;153361
"201246";8,95;55;8525;70;41;154364
"201247";13;105;8910;73;38;158247
"201248";12,5;84;7325;67;43;149906
"201249";16,18;95;6927;68;45;152924
"201250";11,98;103;7172;70;47;157810
"201251";5,42;48;7957;55;44;128056
"201252";11,57;51;5005;57;33;125475
"201301";11,11;67;6618;64;55;151193
"201302";12,66;136;11789;85;61;193883
"201303";20,89;199;11320;83;71;195890
"201304";22,55;253;12787;84;74;199482
"201305";33,58;342;12049;80;73;191432
"201306";28,81;330;12408;81;80;197322
"201307";30,17;327;11711;77;76;187549
"201308";31,04;337;11521;80;75;192581
"201309";27,83;300;12062;77;77;188124
"201310";28,34;317;11999;80;76;193155
"201311";28,27;276;11073;76;75;185106
"201312";32,39;283;9073;70;74;173319
"201313";23,19;213;9588;75;74;182663
"201314";21,9;246;11801;73;74;178925
"201315";11,83;120;10757;70;69;170447
"201316";14,85;138;10069;69;73;170876
"201317";12,52;108;9228;58;61;143427
"201318";2,7;21;4956;45;47;111091
"201319";2,98;20;6341;53;63;135232
"201320";5,93;41;8582;51;61;130345
"201321";6,77;20;3586;25;42;70844
"201322";5,24;15;3695;23;42;67106
"201323";7,97;36;4150;24;40;67826
"201324";7,19;40;3833;24;39;67252
"201325";4,97;15;3410;22;35;61217
"201326";9,02;21;2821;19;36;56185
"201327";5,99;21;3689;25;35;66823
"201328";7,24;20;3220;22;35;61217
"201329";6,96;14;3023;24;35;64954
"201330";3,23;5;2194;13;26;39228
"201331";0,23;2;2260;15;23;41243
"201332";0,19;1;1270;11;19;31470
"201333";1,68;3;1104;13;17;34059
"201334";6,85;14;2641;22;23;54324
"201335";5,44;11;3096;20;32;55756
"201336";4,68;11;3581;20;33;56330
"201337";4,33;14;3879;24;39;67252
"201338";6,19;31;4554;23;41;66532
"201339";5,2;29;4569;24;43;69549
"201340";11,26;57;4089;21;36;59922
